id,proposition,sen_length,longest_word,pos_nouns,pos_pnouns,pos_verbs,pos_adjectives,pos_numerical,pos_modal_verbs,actual,predicted,pos_verbs,prediction_fact,prediction_policy,prediction_value,speciteller,color_w1,color_w2,color_w3,color_w4,color_w5,color_w6,color_w7,color_w8,color_w9,color_w10,color_w11,color_w12,color_w13,color_w14,color_w15,color_w16,color_w17,color_w18,color_w19,color_w20,color_w21,color_w22,color_w23,color_w24,color_w25,color_w26,color_w27,color_w28,color_w29,color_w30,color_w31,color_w32,color_w33,color_w34,color_w35,color_w36,color_w37,color_w38,color_w39,color_w40,color_w41
12,TRUMP actually advocated for the actions OBAMA and CLINTON took in Libya,109,9,1,4,2,0,0,0,Fact,Fact,2,0.536421363,0.054741088,0.408837549,0.06287,-0.014590432,-0.033555815,0,0,0,0,-0.017906457,0.008545414,0,0.022555778,-0.010758739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,RAHAMI is still alive,48,6,0,1,0,1,0,0,Fact,Value,4,0.121741214,0.060353372,0.817905414,0.381981,-0.004509743,-0.05827623,-0.00642914,-0.0044153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,this is President OBAMA fault,66,9,1,2,0,0,0,0,Value,Value,1,0.140941092,0.063725101,0.795333806,0.026402,-0.017918617,-0.0438606,0.014256177,-0.000814818,-0.00091142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,in part because stop and frisk was ineffective,32,11,2,0,1,1,0,0,Value,Value,1,0.458909348,0.006724692,0.53436596,0.015944,0,-0.012175504,-0.014218512,0.006706209,0.003340981,-0.016201931,-0.024036246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,we need new jobs with rising incomes investments not in more tax cuts that would add 5 trillion to the debt,24,12,6,0,4,2,2,1,Value,Value,1,0.157079053,0.072606434,0.770314513,0.003507,0,0.031361029,0.014043883,0,0,-0.021571013,-0.032596877,0,0,0,0,-0.056727624,0,0,0,0.018301348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,if TRUMP donesnt get there one way he going to get to Pennsylvania Avenue another,38,12,2,3,2,0,1,0,Fact,Fact,1,0.702865059,0.058926651,0.23820829,0.000907,-0.017982089,-0.012650165,0,0.052300259,-0.067681093,0,0,-0.053794325,0,0.027109677,0.052300259,0.027109677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,you look at the Middle East you started the Iran deal that another beauty where you have a country that was ready to fall they were doing so badly,33,7,3,3,4,1,0,0,Value,Fact,1,0.53033848,0.016165542,0.453495978,0.019139,0,0,0,0,0,0.006610277,0,-0.007943667,0,0,0,0,0,0,-0.011885869,0,0,0,0,0,-0.018998091,0,0,0,0,-0.017816822,0,-0.007974948,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CLINTON has talked with a number of leaders across the globe,47,7,3,1,1,0,0,0,Fact,Fact,1,0.706620629,0.044849598,0.248529773,0.002683,0,-0.028023729,0,0,0,-0.013930819,-0.006084815,0.004056802,-0.011442967,0,0.004171927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CLINTON has been a secretary of state,45,9,2,1,0,0,0,0,Fact,Fact,1,0.739176897,0.03268983,0.228133272,0.021894,0.000652259,-0.03504729,-0.071971162,0,-0.01334463,-0.008163203,0.042782993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,now CLINTON wants to approve Trans Pacific Partnership,59,11,0,4,2,0,0,0,Fact,Value,2,0.080235876,0.021071251,0.898692873,0.059932,-0.047703794,0,0.042307618,0,-0.008136705,-0.035714819,-0.035491752,-0.035528585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,believe TRUMP The day Obama goes off and OBAMA leaves and goes out to the golf course for the rest of OBAMA life to play golf when they raise interest rates you re going to see some very bad things happen,45,8,10,4,8,1,0,0,Value,Value,1,0.040842569,0.008190156,0.950967276,0.000739,-0.008096317,0,-0.006161396,0,0,0,0,0,-0.008242123,0,0,0,0,0,0,0,0,0,0,0,0,-0.008242123,0,0,0,0,-0.005876373,0,0,0,0,0,0,0,0,0,-0.010552927,0,-0.010226884,0,0
23,HOLT just wants to get the answer here,123,6,1,1,1,0,0,0,Value,Policy,4,0.060384546,0.507482155,0.432133299,0.397477,0.037296494,-0.117425066,0.227603135,0.032478516,0.103007199,-0.008680279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,now police are having to handle a lot of really difficult mental health problems on the street,125,9,5,0,2,2,0,0,Fact,Value,1,0.15083316,0.019133839,0.830033001,0.069948,-0.023722256,0,0,0.009089228,0,0,0,-0.016579539,0,-0.011566042,0,0,0,-0.020738922,0,0,0.0076619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,CLINTON is telling the enemy everything she wants to do,18,10,1,1,2,0,0,0,Value,Value,1,0.026729239,0.36360276,0.609668,0.014847,-0.040352516,-0.098712853,0,0,0,0.183574094,-0.192960141,0.188129213,0,0.041990314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,we should be proud of the opportunities that so many families are working to provide for their kids,49,13,3,0,3,2,0,1,Policy,Policy,1,0.141594513,0.684949874,0.173455613,0.05287,0,0.186549286,0,0.180786837,0,0,0,0,-0.118693392,0,0.176485678,-0.090270782,0,0,0.122640119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,In a place like Chicago where thousands of people have been killed thousands over the last number of years,47,9,6,1,1,1,0,0,Fact,Fact,1,0.849294143,0.00628764,0.144418217,0.074683,0,0,0.014130356,0,-0.010027832,-0.009302116,-0.009715934,0,0,0,-0.013183084,0,-0.009715934,-0.010841081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,almost 4000 have been killed since OBAMA became president,49,9,1,1,2,0,1,0,Fact,Fact,2,0.697398223,0.014788544,0.287813233,0.551231,-0.023469676,0,0.008389516,-0.031911833,0,0.00844309,-0.005535871,0,-0.016830247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Iranians had stocked them with centrifuges that were whirling away,36,11,1,1,2,0,0,0,Fact,Fact,3,0.824296838,0.028104528,0.147598634,0.007053,-0.035298324,-0.055950472,-0.002674176,0.011413018,0,0,0,-0.063505754,0,0.039928551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,CLINTON father was a small businessman,103,11,2,1,0,1,0,0,Fact,Fact,3,0.759607813,0.012332443,0.228059744,0.153674,4.19E-05,-0.015679186,-0.04246536,-0.000904168,-0.006733579,-0.000946063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,we will defend the citizens of this country,50,8,2,0,2,0,0,1,Policy,Fact,2,0.445728948,0.291479807,0.262791245,0.001296,0.032680147,0,0.245122357,0,-0.069670597,-0.029659507,-0.041787796,-0.04425289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,there no doubt now that Russia has used cyber attacks against all kinds of organizations in our country,30,13,4,1,1,1,0,0,Fact,Fact,2,0.530958258,0.005047795,0.463993947,0.677227,-0.010564974,0,0,-0.00845281,0,0,-0.005259067,-0.004690363,0,-0.005448078,-0.008330382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,CLINTON holds the same standards as she looks at all of these trade deals,134,9,3,1,2,1,0,0,Fact,Value,2,0.15931722,0.279233873,0.561448908,0.992259,0,0,0,0.165390046,0,-0.039081834,-0.065822543,-0.054021285,0,0,0,0,0.037878831,0.057645465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,TRUMP says nothing,24,7,0,1,1,0,0,0,Fact,Value,3,0.167249573,0.04381643,0.788933998,0.00015,-0.016298618,-0.006149892,-0.020484917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,weve got to have an intelligence surge where we are looking for every scrap of information,75,12,4,0,2,0,0,0,Policy,Fact,2,0.675980405,0.17109818,0.152921415,0.019607,0,0,0.031739323,0,0,0.156039201,0,-0.107543851,0,-0.057710764,0,0,-0.103388779,0,0,0.039319508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,TRUMP hasnt paid any federal income tax for a lot of years,19,7,4,1,1,1,0,0,Fact,Fact,2,0.609065847,0.005195721,0.385738432,0.000367,0,0,0.010897568,-0.008694516,-0.008942181,0,-0.015170166,0,0,-0.008827277,0,-0.011027775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,were just opening up on Pennsylvania Avenue right next to the White House,15,12,0,4,1,0,0,0,Fact,Value,2,0.300802832,0.032292593,0.666904575,0.000146,-0.046649202,-0.012111607,0,0,0,0.02046253,0,-0.028329061,-0.018823786,0.0107342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TRUMP then spoke to Sean Hannity which everybody refuses to call Sean Hannity,16,9,0,5,3,0,0,0,Fact,Fact,2,0.491570262,0.058343128,0.45008661,0.000157,-0.021478539,-0.04871485,0,0.040365457,-0.000836307,0,0.000474425,-0.040030061,0,0.040365457,0,-0.000836307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,some of them have lots of money outside of our country,38,7,3,0,0,0,0,0,Value,Value,1,0.144697345,0.028151523,0.827151132,0.00649,-0.047378537,0,0.008525245,0.008355943,-0.008888552,0,-0.023599382,0,0,0,-0.010983443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,it is a huge problem,72,7,1,0,0,1,0,0,Value,Value,2,0.04658999,0.056427709,0.896982302,0.00633,-0.044637091,-0.045218177,-0.000552301,-0.000271033,0.034797518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,we have people that have no idea as to what to do and how to buy,40,6,2,0,1,0,0,0,Value,Value,1,0.097522058,0.115130479,0.787347463,0.046136,0,0.02912451,0,0,0.02912451,-0.044102994,0,0,0.047297384,-0.04578069,0.047297384,0.025134849,0,0,0.047297384,-0.051011762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,we need to do a better job of working again with the communities faith communities business communities as well as the police to try to deal with this problem,88,12,9,0,3,1,0,0,Policy,Value,1,0.022426957,0.373780912,0.603792131,0.575075,0,0,0,0,0,0,-0.034499302,0,0.055561624,0,0,0,0.081420327,0,0.081420327,-0.038735569,0.081420327,-0.066462527,0,-0.066462527,0,0,0,0.127353222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,if there were nuclear war in East Asia that fine,88,7,1,2,0,2,0,0,Value,Fact,3,0.66784557,0.007150346,0.325004084,0.015485,-0.003719148,-0.02321344,-0.020503449,0,-0.015974487,-0.003401538,0.010684751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,we have to be very vigilant,130,8,0,0,0,1,0,0,Policy,Value,1,0.086873215,0.325480063,0.587646722,0.277964,0.039173706,0.035704249,0.049388886,0.046564441,-0.055543538,0.000948777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,they ca nt get together,149,8,0,0,1,0,0,1,Fact,Policy,5,0.322652702,0.462462282,0.214885016,0.113731,-0.117093141,0.191324725,-0.001531145,0.08687418,0.140397783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,we can deploy a half a billion more solar panels,50,7,2,0,2,2,1,1,Fact,Fact,1,0.752430705,0.077209607,0.170359688,0.000368,0.020433456,0,0,0,-0.023532751,0,-0.036401128,-0.003785042,0.008878456,0.000651328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,it determines how theyre treated in the criminal justice system,77,10,2,0,2,1,0,0,Fact,Value,0,0.025347929,0.275663292,0.69898878,0.19247,-0.069631677,-0.097656372,0,0,-0.107879892,0,0,0.130594578,0.130691388,0.081464928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,the line concerning nuclear codes is a good one,68,10,3,0,1,2,0,0,Value,Value,2,0.036167717,0.038452384,0.925379899,0.833215,0,0,-0.010574408,-0.017731335,0.036660562,-0.021084402,0,-0.038018235,-0.020174357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,our energy policies are a disaster,88,8,3,0,0,0,0,0,Value,Value,2,0.083747027,0.051576116,0.864676856,0.060309,0.012741726,-0.014914106,0.002961145,-0.029534287,-0.000689865,-0.033667576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,It been a disaster,25,8,1,0,0,0,0,0,Value,Value,1,0.212747737,0.008967172,0.778285091,0.00786,-0.025195145,-0.034899568,-0.003333447,-0.004416844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,TRUMP also notices the very nasty commercials that CLINTON does on TRUMP in so many different ways which TRUMP does nt do on CLINTON,50,11,2,5,1,3,0,0,Value,Value,2,0.1207095,0.025886551,0.853403949,0.002541,-0.016428022,0.011359124,0,0,0,0,0,0,0,-0.029433147,0.012619901,-0.016428022,0,-0.015949767,0,-0.024003835,0,0,-0.016428022,-0.029433147,0,0,0.012619901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,That means weve got to work more closely with our allies and that something that TRUMP has been very dismissive of,25,10,1,1,3,1,0,0,Policy,Value,1,0.209963887,0.172231996,0.617804117,0.003271,0.03525029,0,0,0,0,0,0,0.023525782,0,0,0.124449524,0,0,0,0,-0.02339939,-0.064399681,-0.115881745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,our institutions are under cyber attack,53,12,2,0,0,1,0,0,Fact,Fact,1,0.760292659,0.05102074,0.1886866,0.007579,0.015351609,-6.36E-05,-0.038007493,-0.065316959,0.025121618,-0.008510038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,the special interests want those companies to leave,38,9,2,0,2,1,0,0,Fact,Policy,0,0.406731855,0.534923128,0.058345017,0.00103,0,-0.163128229,0.035127063,0.01146521,0.078555738,0,0.044652229,0.277231882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,they have made all the gains in the economy,40,7,2,0,1,0,0,0,Value,Value,2,0.217513417,0.089685756,0.692800827,0.00884,-0.02571849,0.020176081,-0.055612546,0.01469701,0,0,-0.017332543,0,0.023761523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,TRUMP bulit some of the greatest assets anywhere in the world,51,8,2,1,1,1,0,0,Fact,Value,2,0.228284203,0.045768145,0.725947652,0.001786,-0.014247805,0,-0.066362551,-0.008457747,0,0,0,0.035923029,-0.008976584,0,-0.002306148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,CLINTON was shocked when TRUMP publicly invited PUTIN to hack into Americans,38,9,0,4,3,0,0,0,Value,Fact,0,0.839934612,0.014686403,0.145378984,0.002715,0,-0.035258344,0,-0.016461343,-0.006629297,0,0,0.00850205,0.008558192,0,0,-0.026705812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,weve got to get guns out of the hands of people who should not have them,48,6,3,0,2,0,0,1,Policy,Value,1,0.197360365,0.300910976,0.501728659,0.008777,0,0,0,0.077175162,0,-0.035754072,-0.050709321,0,-0.07768632,-0.050709321,0,0,0.165652241,-0.050334752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,TRUMP just cant say anything extremely rough to CLINTON and to her family,36,9,1,2,2,1,0,1,Value,Value,1,0.084595619,0.226366586,0.689037794,0.035793,0,-0.052373693,0,-0.075092326,0.210650435,-0.097822019,0,0,0,0,0,-0.127551899,0.131917523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,weve seen recently in Charlotte and Tulsa,47,9,0,2,1,0,0,0,Fact,Fact,1,0.798146823,0.055960142,0.145893035,0.053102,0,-0.024112515,-0.007352442,-0.012153448,-0.016439257,0.009556435,-0.005847988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,you land at LaGuardia you land at Kennedy you land at LAX you land at Newark and you come in from Dubai and Qatar and you see these incredible you come in from China you see these incredible airports,49,10,1,7,8,2,0,0,Value,Value,2,0.444798162,0.10136525,0.453836588,0.062269,-0.070201261,0,0.040197914,0,-0.070201261,0,0.040197914,0,-0.070201261,0,0.040197914,0,-0.070201261,0,0.040197914,0,0,-0.070201261,-0.078088633,-0.01420318,0.025653304,0,0,0,0,-0.070201261,0,0,0,-0.070201261,-0.078088633,-0.01420318,0.025653304,0,-0.070201261,0,0,0,0.023196866,0,0
62,CLINTON wants us to invest in your future,41,7,1,1,2,0,0,0,Value,Value,1,0.018712675,0.336549659,0.644737666,0.033923,-0.037777122,0.17662563,0.078479595,0,-0.263467737,-0.03958366,0,0.11770985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,too many young African American and Latino men ended up in jail for nonviolent offenses,61,10,3,1,1,5,0,0,Value,Fact,0,0.655959857,0.114637562,0.229402581,0.018665,0.030893286,-0.04034382,0,-0.088816585,-0.025100597,0,0,0.021781274,0.076137268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,CLINTON has been trying to take ISIS out for a long time,61,7,1,2,2,1,0,0,Value,Value,1,0.294613145,0.070639983,0.634746872,0.020076,0,-0.052854855,-0.096878962,-0.055251817,0,0.084675737,0,0,0,0,-0.027169995,0.033665423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,NAFTA is the worst trade deal maybe ever signed anywhere but certainly ever signed in this country,114,9,3,1,2,1,0,0,Value,Value,7,0.129090305,0.049495895,0.8214138,0.249675,-0.033339625,0,0,-0.029800941,0,0,-0.031828399,0,0,0.02037621,-0.032846732,0.05128674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,we can have enough clean energy to power every home,20,6,3,0,1,2,0,1,Fact,Value,1,0.061485533,0.137055725,0.801458742,0.015452,0,0,0,-0.079527357,0,-0.056852385,0.0194032,-0.027403565,-0.089847719,0.1293947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,here are some positive ways we can work on this,71,8,1,0,2,1,0,1,Value,Value,1,0.260407485,0.066182249,0.673410266,0.002723,0.025565734,-0.037169997,-0.095260275,0,0,0.016976452,0,0.021592433,0,-0.016795158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,coming back from that abyss has not been easy,37,6,1,0,1,1,0,0,Value,Value,1,0.344846045,0.013082551,0.642071404,0.000905,-0.009213582,-0.009913424,0.013330295,0,0,-0.016060836,-0.007165564,-0.028117257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,ISIS are beating USA at their own game,92,7,1,2,1,1,0,0,Value,Fact,3,0.70416804,0.149846931,0.145985029,0.005468,0.05399195,-0.08536437,0,0.030468124,0.042149655,0.002412477,-0.072851749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,tax policies took their eyes off of Wall Street,45,8,3,2,1,0,0,0,Fact,Fact,1,0.633604133,0.109971554,0.256424313,0.003409,-0.104836165,0.005283429,0.006940097,0.006629828,0,0.074241701,-0.01257353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,What CLINTON has proposed would be paid for by raising taxes on the wealthy,51,8,1,1,4,1,0,1,Policy,Value,1,0.143888089,0.148890747,0.707221164,0.004643,0,0,-0.071250418,-0.025409333,0,0,0.067466863,0,0,0.138313477,-0.119536353,0,0,-0.045261046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
